  Yr, Mn,    Date,      Date,     CO2, Sta
1958, 01,21200,1958.0411,-99.99, MLO
1958, 02,21231,1958.126,-99.99, MLO
1958, 03,21259,1958.2027,315.71, MLO
1958, 04,21290,1958.2877,317.45, MLO
1958, 05,21320,1958.3699,317.51, MLO
1958, 06,21351,1958.4548,-99.99, MLO
1958, 07,21381,1958.537,315.87, MLO
1958, 08,21412,1958.6219,314.93, MLO
1958, 09,21443,1958.7068,313.21, MLO
1958,10,21473,1958.789,-99.99, MLO
1958,11,21504,1958.874,313.33, MLO
1958,12,21534,1958.9562,314.67, MLO
1959, 01,21565,1959.0411,315.58, MLO
1959, 02,21596,1959.126,316.49, MLO
1959, 03,21624,1959.2027,316.65, MLO
1959, 04,21655,1959.2877,317.72, MLO
1959, 05,21685,1959.3699,318.29, MLO
1959, 06,21716,1959.4548,318.15, MLO
1959, 07,21746,1959.537,316.54, MLO
1959, 08,21777,1959.6219,314.79, MLO
1959, 09,21808,1959.7068,313.84, MLO
1959,10,21838,1959.789,313.33, MLO
1959,11,21869,1959.874,314.81, MLO
1959,12,21899,1959.9562,315.58, MLO
1960, 01,21930,1960.041,316.43, MLO
1960, 02,21961,1960.1257,316.98, MLO
1960, 03,21990,1960.2049,317.58, MLO
1960, 04,22021,1960.2896,319.03, MLO
1960, 05,22051,1960.3716,320.03, MLO
1960, 06,22082,1960.4563,319.59, MLO
1960, 07,22112,1960.5383,318.18, MLO
1960, 08,22143,1960.623,315.9, MLO
1960, 09,22174,1960.7077,314.17, MLO
1960,10,22204,1960.7896,313.83, MLO
1960,11,22235,1960.8743,315, MLO
1960,12,22265,1960.9563,316.19, MLO
1961, 01,22296,1961.0411,316.89, MLO
1961, 02,22327,1961.126,317.7, MLO
1961, 03,22355,1961.2027,318.54, MLO
1961, 04,22386,1961.2877,319.48, MLO
1961, 05,22416,1961.3699,320.58, MLO
1961, 06,22447,1961.4548,319.77, MLO
1961, 07,22477,1961.537,318.56, MLO
1961, 08,22508,1961.6219,316.79, MLO
1961, 09,22539,1961.7068,314.99, MLO
1961,10,22569,1961.789,315.31, MLO
1961,11,22600,1961.874,316.1, MLO
1961,12,22630,1961.9562,317.01, MLO
1962, 01,22661,1962.0411,317.94, MLO
1962, 02,22692,1962.126,318.55, MLO
1962, 03,22720,1962.2027,319.68, MLO
1962, 04,22751,1962.2877,320.57, MLO
1962, 05,22781,1962.3699,321.02, MLO
1962, 06,22812,1962.4548,320.62, MLO
1962, 07,22842,1962.537,319.62, MLO
1962, 08,22873,1962.6219,317.4, MLO
1962, 09,22904,1962.7068,316.24, MLO
1962,10,22934,1962.789,315.42, MLO
1962,11,22965,1962.874,316.69, MLO
1962,12,22995,1962.9562,317.7, MLO
1963, 01,23026,1963.0411,318.74, MLO
1963, 02,23057,1963.126,319.07, MLO
1963, 03,23085,1963.2027,319.86, MLO
1963, 04,23116,1963.2877,321.38, MLO
1963, 05,23146,1963.3699,322.24, MLO
1963, 06,23177,1963.4548,321.49, MLO
1963, 07,23207,1963.537,319.74, MLO
1963, 08,23238,1963.6219,317.77, MLO
1963, 09,23269,1963.7068,316.21, MLO
1963,10,23299,1963.789,315.99, MLO
1963,11,23330,1963.874,317.07, MLO
1963,12,23360,1963.9562,318.35, MLO
1964, 01,23391,1964.041,319.57, MLO
1964, 02,23422,1964.1257,-99.99, MLO
1964, 03,23451,1964.2049,-99.99, MLO
1964, 04,23482,1964.2896,-99.99, MLO
1964, 05,23512,1964.3716,322.25, MLO
1964, 06,23543,1964.4563,321.9, MLO
1964, 07,23573,1964.5383,320.44, MLO
1964, 08,23604,1964.623,318.69, MLO
1964, 09,23635,1964.7077,316.71, MLO
1964,10,23665,1964.7896,316.87, MLO
1964,11,23696,1964.8743,317.68, MLO
1964,12,23726,1964.9563,318.71, MLO
1965, 01,23757,1965.0411,319.44, MLO
1965, 02,23788,1965.126,320.44, MLO
1965, 03,23816,1965.2027,320.89, MLO
1965, 04,23847,1965.2877,322.13, MLO
1965, 05,23877,1965.3699,322.17, MLO
1965, 06,23908,1965.4548,321.88, MLO
1965, 07,23938,1965.537,321.21, MLO
1965, 08,23969,1965.6219,318.87, MLO
1965, 09,24000,1965.7068,317.82, MLO
1965,10,24030,1965.789,317.3, MLO
1965,11,24061,1965.874,318.87, MLO
1965,12,24091,1965.9562,319.42, MLO
1966, 01,24122,1966.0411,320.62, MLO
1966, 02,24153,1966.126,321.6, MLO
1966, 03,24181,1966.2027,322.39, MLO
1966, 04,24212,1966.2877,323.7, MLO
1966, 05,24242,1966.3699,324.08, MLO
1966, 06,24273,1966.4548,323.75, MLO
1966, 07,24303,1966.537,322.37, MLO
1966, 08,24334,1966.6219,320.36, MLO
1966, 09,24365,1966.7068,318.64, MLO
1966,10,24395,1966.789,318.1, MLO
